date,average_return
2020-12-23,0.0017074213230146129
2021-06-17,0.010085233491923274
2021-11-16,0.010221487808905869
2021-12-08,0.00942169415848089
2023-06-21,-0.019450491872643923
2023-11-16,0.0028189738018236017
2024-03-05,-0.02189972350915153
2024-06-27,0.0021742122253178816
2020-12-21,-0.005868540902766043
2021-08-12,0.011558353399156665
2024-02-15,0.009568052380276306
2021-01-05,0.0066544925730140595
2022-02-15,0.026153359388671887
2022-03-11,-0.02513485359208032
2022-08-12,0.028128785379572807
2024-06-05,0.008773865821451954
2020-08-26,0.025690162034296315
2021-08-24,0.0012951588435453445
2022-12-06,-0.017837473893196155
2023-01-11,0.024032965103207397
2021-04-23,0.018068350468285692
2020-08-07,-0.012127501054982238
2020-10-13,0.0061319145187688495
2020-12-09,-0.0292649033948346
